<page_number>83</page_number>

Key Contributors (continued)

| Contributor's Name | Affiliation | LinkedIn Profile Link |
|---|---|---|
| Dr.Muhammad Aatif | Qorvex Consulting | https://www.linkedin.com/in/muhammad-aatif-93729456/ |
| Dr.Muhammad Zeeshan Baig | Qorvex Consulting /Wentworth Institute of Higher Education | https://www.linkedin.com/in/muhammad-zeeshan-baig-b595b238/ |
| Dr. Umang Mehta | World AI Governance (WAIG Foundation) | https://www.linkedin.com/in/mehtaumang/ |
| Dr.Yasir Mehmood | Qorvex Consulting | https://www.linkedin.com/in/dr-yasir-mehmood/ |
| Edward Lee | JPMorgan Chase & Co. | https://www.linkedin.com/in/go-edwardlee/ |
| Eugene Neelou | OWASP | https://linkedin.com/in/mlsecops |
| Gauri Sharma | Georgia Tech | https://www.linkedin.com/in/gs-softwaredev/ |
| George DeCesare | Cybersecurity Risk Executive and Board Member | https://www.linkedin.com/in/jorge-d-decesare/ |
| Grace Huang | PIMCO | https://www.linkedin.com/in/gracehuang123/ |
| Guillaume Bonnet | Akamai Technologies | https://www.linkedin.com/in/gs-bonnet/ |
| Hammad Atta | Roshan Consulting and Qorvex Consulting Research | https://www.linkedin.com/in/hammad-a-51048729/ |
| Hooman Mohajeri | (blank) | https://www.linkedin.com/in/hooman-mohajeri/ |
| Ivan Vlahov | SPLX, a Zscaler Company | https://www.linkedin.com/in/ivanvlahov/ |
| Jaafer Rahmani | University of Freiburg HS Offenburg | https://www.linkedin.com/in/jaafer-rahmani/ |
| Jacob Rideout | HiddenLayer | https://www.linkedin.com/in/jacobrideout/ |

                                                                                                                              82
